id,camera_view_id,company,date,day_of_week,location,mood,time_of_day,weather
2915,2915,alone,2025-02-09 23:13:53.783,Monday,home,anxious,night,dark
544,-1,alone,2025-01-31 23:02:01.683,Saturday,home,happy,night,windy
545,-1,alone,2025-01-31 23:02:40.142,Saturday,home,happy,night,windy
546,-1,alone,2025-01-31 23:02:55.14,Saturday,home,happy,night,windy
547,-1,alone,2025-01-31 23:03:19.769,Saturday,home,happy,night,windy
548,-1,alone,2025-01-31 23:03:29.888,Saturday,home,happy,night,windy
549,-1,alone,2025-01-31 23:03:44.233,Saturday,home,happy,night,windy
550,-1,alone,2025-01-31 23:03:52.179,Saturday,home,happy,night,windy
551,-1,alone,2025-01-31 23:04:05.752,Saturday,home,happy,night,windy
552,-1,alone,2025-01-31 23:04:27.279,Saturday,home,happy,night,windy
553,-1,alone,2025-01-31 23:04:37.51,Saturday,home,happy,night,windy
554,-1,alone,2025-01-31 23:04:52.567,Saturday,home,happy,night,windy
555,-1,alone,2025-01-31 23:05:03.384,Saturday,home,happy,night,windy
556,-1,alone,2025-01-31 23:05:25.888,Saturday,home,happy,night,windy
557,-1,alone,2025-01-31 23:05:38.397,Saturday,home,happy,night,windy
558,-1,alone,2025-01-31 23:05:45.832,Saturday,home,happy,night,windy
559,-1,alone,2025-01-31 23:06:02.401,Saturday,home,happy,night,windy
560,-1,alone,2025-01-31 23:06:12.988,Saturday,home,happy,night,windy
561,-1,alone,2025-01-31 23:06:34.377,Saturday,home,happy,night,windy
562,-1,alone,2025-01-31 23:06:50.845,Saturday,home,happy,night,windy
563,-1,alone,2025-01-31 23:06:59.014,Saturday,home,happy,night,windy
564,-1,alone,2025-01-31 23:07:10.551,Saturday,home,happy,night,windy
565,-1,alone,2025-01-31 23:07:24.859,Saturday,home,happy,night,windy
566,-1,alone,2025-01-31 23:07:33.141,Saturday,home,happy,night,windy
567,-1,alone,2025-02-01 01:28:56.918,Saturday,home,indifferent,night,cloudy
568,-1,alone,2025-02-01 01:31:19.176,Saturday,home,indifferent,night,cloudy
569,-1,alone,2025-02-01 01:32:45.794,Saturday,home,indifferent,night,cloudy
570,-1,alone,2025-02-01 01:35:11.981,Saturday,home,indifferent,night,cloudy
571,-1,alone,2025-02-01 01:37:43.174,Saturday,home,indifferent,night,cloudy
572,-1,alone,2025-02-01 01:39:21.425,Saturday,home,indifferent,night,cloudy
573,-1,alone,2025-02-01 01:40:28.004,Saturday,home,indifferent,night,cloudy
574,-1,alone,2025-02-01 01:41:46.531,Saturday,home,indifferent,night,cloudy
575,-1,alone,2025-02-01 01:45:35.277,Saturday,home,indifferent,night,cloudy
576,-1,alone,2025-02-01 01:47:25.18,Saturday,home,indifferent,night,cloudy
577,-1,alone,2025-02-01 01:49:10.016,Saturday,home,indifferent,night,cloudy
578,-1,alone,2025-02-01 01:50:52.509,Saturday,home,indifferent,night,cloudy
579,-1,alone,2025-02-01 01:51:50.023,Saturday,home,indifferent,night,cloudy
580,-1,alone,2025-02-01 01:54:32.952,Saturday,home,indifferent,night,cloudy
581,-1,alone,2025-02-01 01:55:58.359,Saturday,home,indifferent,night,cloudy
582,-1,alone,2025-02-01 01:56:37.461,Saturday,home,relaxed,night,windy
583,-1,alone,2025-02-01 01:57:29.599,Saturday,home,indifferent,night,cloudy
584,-1,alone,2025-02-01 01:59:21.599,Saturday,home,indifferent,night,cloudy
585,-1,alone,2025-02-01 02:00:46.592,Saturday,home,indifferent,night,cloudy
586,-1,alone,2025-02-01 02:02:10.54,Saturday,home,indifferent,night,cloudy
531,-1,partner,2025-01-31 21:55:14.335,Friday,home,relaxed,night,rainy
587,-1,alone,2025-02-01 02:04:43.356,Saturday,home,indifferent,night,cloudy
589,-1,alone,2025-02-01 02:06:37.567,Saturday,home,indifferent,night,cloudy
590,-1,alone,2025-02-01 02:09:07.649,Saturday,home,indifferent,night,cloudy
591,-1,alone,2025-02-01 02:11:34.481,Saturday,home,indifferent,night,cloudy
592,-1,alone,2025-02-01 02:13:51.283,Saturday,home,indifferent,night,cloudy
593,-1,alone,2025-02-01 02:15:59.68,Saturday,home,indifferent,night,cloudy
