id,domain,rating,context_id,movie_id,song_id,user_id
2365,MOVIE,5,2547,17,,131
2366,SONG,2.5,2548,,11,133
2367,SONG,5,2549,,14,133
2368,SONG,1,2550,,3,133
2369,SONG,3,2551,,25,133
2370,MOVIE,2,2553,10,,133
2371,SONG,3.5,2543,,21,132
2372,MOVIE,1,2554,17,,133
2373,MOVIE,3,2556,24,,133
2374,SONG,3,2555,,35,132
2375,MOVIE,5,2557,2,,133
2376,MOVIE,4,2559,8,,133
2378,MOVIE,1,2560,26,,133
2379,MOVIE,2.5,2562,15,,133
2380,SONG,1.5,2561,,9,132
2382,SONG,0.5,2564,,8,132
2384,MOVIE,2,2568,11,,133
2386,MOVIE,2,2572,33,,133
2387,MOVIE,1,2571,3,,132
2377,SONG,2,2558,,1,132
2381,MOVIE,0.5,2563,16,,133
2383,MOVIE,4,2565,18,,133
2385,MOVIE,2,2569,25,,133
2388,MOVIE,4.5,2573,4,,133
2389,MOVIE,5,2574,22,,133
2390,MOVIE,5,2575,31,,133
2391,MOVIE,1.5,2576,5,,133
2392,MOVIE,3.5,2577,21,,133
2393,MOVIE,3,2578,34,,133
2394,MOVIE,3,2579,6,,133
2395,MOVIE,3,2580,20,,133
2396,MOVIE,4,2581,7,,133
2397,MOVIE,4.5,2582,29,,133
2398,MOVIE,4.5,2583,12,,133
2399,MOVIE,5,2584,23,,133
2400,MOVIE,5,2585,28,,133
2401,MOVIE,2.5,2586,3,,133
2402,MOVIE,3.5,2587,19,,133
2403,MOVIE,2.5,2588,1,,133
2404,MOVIE,3,2589,35,,133
2405,MOVIE,3,2590,30,,133
2406,MOVIE,3,2591,14,,133
2407,MOVIE,3,2592,27,,133
2408,MOVIE,4,2593,13,,133
2409,MOVIE,3.5,2594,9,,133
2410,MOVIE,4.5,2595,32,,133
2411,SONG,2,2598,,17,134
2412,SONG,1,2599,,26,134
2413,MOVIE,1.5,2600,26,,134
2414,MOVIE,3,2601,1,,134
2415,SONG,1,2602,,5,134
2416,SONG,3.5,2603,,8,134
2417,SONG,2,2604,,24,134
2418,SONG,3.5,2605,,28,134
2419,SONG,3.5,2606,,21,134
2420,MOVIE,1,2607,3,,134
2421,MOVIE,2.5,2608,19,,134
2422,MOVIE,0,2609,10,,134
2423,SONG,0.5,2610,,3,134
2424,MOVIE,3,2611,24,,134
2425,SONG,3,2612,,16,134
2426,SONG,2.5,2613,,23,134
2427,MOVIE,2.5,2614,34,,134
2428,SONG,0,2615,,15,134
2429,SONG,2.5,2616,,7,134
2430,SONG,3,2617,,6,134
2431,MOVIE,4,2618,2,,134
2432,MOVIE,5,2619,13,,134
2433,SONG,5,2620,,4,134
2434,SONG,4,2621,,11,134
2435,SONG,1.5,2622,,10,134
2436,MOVIE,0.5,2623,15,,134
2437,SONG,0.5,2624,,13,134
2438,SONG,0.5,2625,,1,134
2439,MOVIE,3,2626,17,,134
2440,SONG,3,2627,,12,134
2441,MOVIE,0.5,2628,23,,134
2442,MOVIE,3.5,2629,9,,134
2443,MOVIE,3.5,2630,29,,134
2444,MOVIE,3.5,2631,27,,134
2445,SONG,3,2632,,2,134
2446,MOVIE,3.5,2633,22,,134
2447,MOVIE,2,2634,32,,134
2448,SONG,4,2635,,31,134
2449,SONG,0.5,2636,,30,134
2450,SONG,4,2637,,14,134
2451,MOVIE,2,2638,6,,134
2452,MOVIE,1,2639,35,,134
2453,MOVIE,1.5,2640,11,,134
2454,MOVIE,0.5,2641,20,,134
2455,SONG,3,2642,,18,134
2456,SONG,0.5,2643,,9,134
2457,SONG,1,2644,,19,134
2458,SONG,3.5,2645,,22,134
2459,SONG,2.5,2646,,35,134
2460,MOVIE,3.5,2647,21,,134
2461,SONG,3.5,2648,,27,134
2462,SONG,0.5,2649,,29,134
2463,MOVIE,2,2650,28,,134
2464,SONG,3.5,2651,,32,134
2465,SONG,2.5,2652,,34,134
2466,SONG,2,2653,,20,134
2467,SONG,3.5,2654,,25,134
2468,SONG,1.5,2655,,33,134
2469,MOVIE,3.5,2656,4,,134
2470,SONG,4,2659,,4,135
2471,SONG,1,2660,,13,135
2472,SONG,1,2661,,1,135
2473,MOVIE,0.5,2662,5,,135
2474,MOVIE,4,2663,4,,135
2475,MOVIE,5,2664,25,,135
2476,SONG,5,2665,,12,135
2477,SONG,0,2666,,17,135
2478,MOVIE,0.5,2667,27,,135
2479,MOVIE,5,2668,12,,135
2480,SONG,0,2669,,28,135
2481,MOVIE,0,2670,15,,135
2482,SONG,2,2671,,27,135
2483,SONG,3.5,2672,,16,135
2484,MOVIE,4,2673,3,,135
2485,SONG,4.5,2675,,23,39
2486,SONG,4,2676,,33,39
2487,SONG,1.5,2678,,28,39
2488,SONG,1,2679,,27,39
2489,MOVIE,4,2677,19,,36
2490,MOVIE,1.5,2681,33,,36
2491,MOVIE,4.5,2680,4,,39
2496,SONG,5,2687,,17,39
2499,MOVIE,1,2689,24,,36
2501,MOVIE,5,2691,32,,39
2502,SONG,5,2693,,25,39
2503,MOVIE,3.5,2692,26,,36
2492,SONG,4,2683,,24,39
2493,MOVIE,4.5,2682,2,,36
2494,MOVIE,4.5,2685,28,,36
