movie_id,tag_id
1,16
1,11
2,15
2,11
3,10
3,13
4,16
4,11
4,12
5,15
5,17
6,9
6,13
7,14
7,12
8,19
8,12
9,9
9,18
10,11
11,16
11,11
12,20
12,10
13,11
13,20
14,9
14,13
16,18
17,17
17,21
18,19
19,11
19,12
20,10
20,13
21,10
21,11
21,16
15,13
15,9
22,11
22,9
22,20
23,11
23,9
23,20
24,14
24,12
24,9
25,10
25,13
26,12
26,18
27,15
27,17
27,20
28,15
28,9
28,20
29,16
29,9
29,20
30,9
31,16
31,14
31,12
32,19
32,11
32,12
33,9
33,18
34,9
34,10
34,13
35,21
35,9
