user_id,tag_id
27,2
27,1
28,2
28,4
28,7
31,2
31,1
32,2
32,1
33,2
33,1
33,6
34,2
34,4
34,1
34,8
35,2
35,4
35,1
36,2
36,1
36,8
38,5
38,1
38,8
38,6
39,2
39,4
39,1
40,2
40,7
40,6
41,3
41,5
41,1
41,8
42,2
42,5
42,1
42,8
43,2
43,3
43,7
44,2
44,4
44,1
45,2
45,5
45,1
45,8
46,2
46,1
46,8
47,2
47,1
48,4
49,2
49,1
49,8
50,2
50,4
50,8
50,6
51,1
52,2
52,3
52,1
52,7
52,6
54,5
54,4
54,7
55,3
55,5
55,4
55,1
55,8
55,6
56,4
57,3
57,1
58,3
58,5
58,8
59,2
59,5
59,7
59,6
60,2
60,4
60,8
60,7
60,6
62,5
62,4
62,1
62,8
63,1
63,8
64,1
64,6
66,2
66,3
66,4
66,1
67,2
67,8
67,6
68,1
69,5
69,4
69,1
69,8
69,7
69,6
70,2
70,3
70,5
70,4
70,1
73,2
73,1
74,5
74,1
74,8
75,5
75,1
75,8
76,4
76,1
76,8
76,6
77,2
77,8
77,7
78,3
78,5
78,1
78,8
79,2
79,7
80,4
80,1
80,8
81,2
81,3
81,5
81,4
81,1
81,8
81,6
82,4
82,1
82,8
83,2
83,4
83,1
83,8
83,6
84,8
84,6
85,2
85,1
86,2
86,6
87,2
87,4
87,1
87,6
88,6
89,2
89,3
89,5
89,4
89,8
90,2
90,3
90,8
90,7
91,2
91,1
92,2
92,1
92,7
93,1
94,2
94,3
94,5
94,1
94,6
95,4
95,6
96,5
96,8
96,7
97,3
98,2
98,1
98,8
99,2
99,4
99,7
99,6
100,4
100,1
100,8
101,1
102,2
102,1
102,7
103,6
104,2
104,4
104,1
105,1
105,6
106,2
106,3
106,5
106,8
107,5
107,1
107,8
108,2
108,4
108,1
108,8
108,7
108,6
109,3
109,4
109,1
110,1
110,6
111,2
111,5
111,1
111,8
111,7
111,6
112,2
112,5
112,4
112,1
112,8
113,8
114,2
114,1
115,1
115,8
115,6
116,1
117,2
117,5
117,7
117,6
118,6
119,4
119,1
119,6
120,2
120,5
120,1
120,8
121,2
121,4
121,6
122,1
123,4
123,1
124,5
124,4
124,1
124,8
125,4
125,1
125,8
126,2
126,3
126,5
126,4
126,1
127,5
127,1
127,8
128,3
128,4
129,2
129,1
129,6
130,1
131,3
131,4
131,1
131,6
132,2
132,5
132,4
133,2
134,2
134,1
135,1
135,6
136,2
136,1
136,8
136,7
136,6
137,1
138,6
139,2
139,1
139,8
139,6
140,2
140,3
141,2
141,4
141,6
142,2
142,3
142,5
142,7
143,2
143,5
143,4
143,8
